File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Genome annotation	Platform	Controlled by	File Status	s3_uri	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF002CQY	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000EBZ	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										JUND-human	DNA					False	2011-10-29	ENCODE												244022	ENCODE Consortium Analysis Working Group	525cce1f671f1810aa1c48d2f85a2d6a		https://www.encodeproject.org/files/ENCFF002CQY/@@download/ENCFF002CQY.bed.gz	hg19				archived	s3://encode-public/2014/06/06/6424ee16-7b01-4ab9-a41a-adb7d531a5be/ENCFF002CQY.narrowPeak.gz				
ENCFF760AQQ	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000EBZ	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										JUND-human	DNA					False	2011-10-29	ENCODE				1, 2							ENCFF001TDO, ENCFF065SXF, ENCFF162PXN, ENCFF338SNH	233544	ENCODE Processing Pipeline	66b5655b705d61f43eef9a3327e5df2b		https://www.encodeproject.org/files/ENCFF760AQQ/@@download/ENCFF760AQQ.bed.gz	hg19				released	s3://encode-public/2016/12/14/5486fcd9-c97d-428e-be7e-77724bc31810/ENCFF760AQQ.bed.gz				
ENCFF002CIY	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000BNR	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										HDAC2-human	DNA					False	2011-07-18	ENCODE												108431	ENCODE Consortium Analysis Working Group	80752ae1c5310b02450b06c83f3df628		https://www.encodeproject.org/files/ENCFF002CIY/@@download/ENCFF002CIY.bed.gz	hg19				archived	s3://encode-public/2014/06/06/09a81cbf-db2d-4d9c-8834-1c6a71bccfa1/ENCFF002CIY.narrowPeak.gz				
ENCFF902CVS	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000BNR	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										HDAC2-human	DNA					False	2011-07-18	ENCODE				1, 2							ENCFF001TDO, ENCFF159YRA, ENCFF273RCZ, ENCFF536YJT	183886	ENCODE Processing Pipeline	3f3592fa333e52b9cca1baa9811787c8		https://www.encodeproject.org/files/ENCFF902CVS/@@download/ENCFF902CVS.bed.gz	hg19				released	s3://encode-public/2017/07/07/082f1319-2cfa-42f7-9948-1fbc3288b067/ENCFF902CVS.bed.gz				
ENCFF002CJQ	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000BIT	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										TCF12-human	DNA					False	2011-07-18	ENCODE												151751	ENCODE Consortium Analysis Working Group	b2ae3c4f14cd0925547fce472ce96e1b		https://www.encodeproject.org/files/ENCFF002CJQ/@@download/ENCFF002CJQ.bed.gz	hg19				archived	s3://encode-public/2014/06/06/805d64b5-e89f-4c8d-a305-ed42f9216997/ENCFF002CJQ.narrowPeak.gz				
ENCFF274AQE	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000BIT	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										TCF12-human	DNA					False	2011-07-18	ENCODE				1, 2							ENCFF001TDO, ENCFF143RTQ, ENCFF447CBR, ENCFF500IOB	194337	ENCODE Processing Pipeline	faca2edfad31759b309588367cc6d3bb		https://www.encodeproject.org/files/ENCFF274AQE/@@download/ENCFF274AQE.bed.gz	hg19				released	s3://encode-public/2017/12/08/1f4c1dc3-0b1a-4b94-87cb-51509e845157/ENCFF274AQE.bed.gz				
ENCFF002CJH	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000BJW	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										RXRA-human	DNA					False	2011-07-18	ENCODE												26542	ENCODE Consortium Analysis Working Group	156a09ea326e6d92c3b83927c6116c75		https://www.encodeproject.org/files/ENCFF002CJH/@@download/ENCFF002CJH.bed.gz	hg19				archived	s3://encode-public/2014/06/06/93401228-b103-4491-8d29-d192496d420a/ENCFF002CJH.narrowPeak.gz				
ENCFF369JAI	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000BJW	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										RXRA-human	DNA					False	2011-07-18	ENCODE				1, 2							ENCFF001TDO, ENCFF673CDR, ENCFF701HCP, ENCFF914ZYY	35031	ENCODE Processing Pipeline	45eac8a6717368c2995378b49497d131		https://www.encodeproject.org/files/ENCFF369JAI/@@download/ENCFF369JAI.bed.gz	hg19				released	s3://encode-public/2017/12/08/e608704f-9cf5-4102-b3d1-1a578e720373/ENCFF369JAI.bed.gz				
ENCFF002CJM	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000BQV	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										SP4-human	DNA					False	2012-02-29	ENCODE												112878	ENCODE Consortium Analysis Working Group	9feafb94ff370856471d807118f1d1f0		https://www.encodeproject.org/files/ENCFF002CJM/@@download/ENCFF002CJM.bed.gz	hg19				archived	s3://encode-public/2014/06/06/271ce537-4cd0-4495-8bfb-db89717c73b5/ENCFF002CJM.narrowPeak.gz				
ENCFF002CJF	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000BMU	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										POU5F1-human	DNA					False	2011-07-18	ENCODE												82228	ENCODE Consortium Analysis Working Group	2c019ef9ca5383733d5a63fa2ea9a677		https://www.encodeproject.org/files/ENCFF002CJF/@@download/ENCFF002CJF.bed.gz	hg19				archived	s3://encode-public/2014/06/06/dfcbe805-0662-4d41-9d27-71d7ff74a00c/ENCFF002CJF.narrowPeak.gz				
ENCFF002CJP	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000BLU	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										TAF7-human	DNA					False	2011-07-18	ENCODE												250288	ENCODE Consortium Analysis Working Group	097300ddc73b049c220683a8ad25e146		https://www.encodeproject.org/files/ENCFF002CJP/@@download/ENCFF002CJP.bed.gz	hg19				archived	s3://encode-public/2014/06/06/e9fcc36d-22d0-4296-83a5-a8133161377b/ENCFF002CJP.narrowPeak.gz				
ENCFF963TZI	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000BLU	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										TAF7-human	DNA					False	2011-07-18	ENCODE				1, 2							ENCFF001TDO, ENCFF120OKL, ENCFF299QBC, ENCFF435PQI	256893	ENCODE Processing Pipeline	3fbc18f78ff0a967465e5f4f920095e7		https://www.encodeproject.org/files/ENCFF963TZI/@@download/ENCFF963TZI.bed.gz	hg19				released	s3://encode-public/2017/12/08/7c14ce97-1d81-4993-a08f-548f5577c867/ENCFF963TZI.bed.gz				
ENCFF002CIX	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000BIW	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										GABPA-human	DNA					False	2011-07-18	ENCODE												113527	ENCODE Consortium Analysis Working Group	9b30d396b2ae6ddbbc58f47f039335b7		https://www.encodeproject.org/files/ENCFF002CIX/@@download/ENCFF002CIX.bed.gz	hg19				archived	s3://encode-public/2014/06/06/9191dd71-e2f3-443b-8076-e76cc71d3689/ENCFF002CIX.narrowPeak.gz				
ENCFF894MNP	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000BIW	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										GABPA-human	DNA					False	2011-07-18	ENCODE				1, 2							ENCFF001TDO, ENCFF027RYJ, ENCFF352YTI, ENCFF814FEG	169751	ENCODE Processing Pipeline	35b95ff5dd3e74989c0a226c380141bd		https://www.encodeproject.org/files/ENCFF894MNP/@@download/ENCFF894MNP.bed.gz	hg19				released	s3://encode-public/2017/12/08/26679f88-014a-4411-b40f-43272ab14f84/ENCFF894MNP.bed.gz				
ENCFF002CIS	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000BKC	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										ATF3-human	DNA					False	2011-07-18	ENCODE												127804	ENCODE Consortium Analysis Working Group	ab173430c407cd66ebbf7626586208a7		https://www.encodeproject.org/files/ENCFF002CIS/@@download/ENCFF002CIS.bed.gz	hg19				archived	s3://encode-public/2014/06/06/47cc2ffd-2ad9-4e8e-b7c6-bfac7e610c27/ENCFF002CIS.narrowPeak.gz				
ENCFF305HBV	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000BKC	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										ATF3-human	DNA					False	2011-07-18	ENCODE				1, 2							ENCFF001TDO, ENCFF067KOU, ENCFF450PVT, ENCFF616DKI	92829	ENCODE Processing Pipeline	742a86a42182a571b8d1fb3cf02d9b7b		https://www.encodeproject.org/files/ENCFF305HBV/@@download/ENCFF305HBV.bed.gz	hg19				released	s3://encode-public/2017/12/08/0cf7d4ac-81ee-4b4e-87c8-5138ee7e05c2/ENCFF305HBV.bed.gz				
ENCFF002CRB	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000EBR	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										MXI1-human	DNA					False	2012-05-14	ENCODE												166822	ENCODE Consortium Analysis Working Group	b2a1820961eed39be6c6a5d12e73b222		https://www.encodeproject.org/files/ENCFF002CRB/@@download/ENCFF002CRB.bed.gz	hg19				archived	s3://encode-public/2014/06/06/90d398e1-1982-4993-a43a-12117058bf9d/ENCFF002CRB.narrowPeak.gz				
ENCFF002CQV	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000EBY	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										MYC-human	DNA					False	2012-05-14	ENCODE												119712	ENCODE Consortium Analysis Working Group	6571f69723eb01caa7da53909fe4b27b		https://www.encodeproject.org/files/ENCFF002CQV/@@download/ENCFF002CQV.bed.gz	hg19				archived	s3://encode-public/2014/06/06/094121b5-ed65-4675-b0b4-1121c01e218d/ENCFF002CQV.narrowPeak.gz				
ENCFF569IGP	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000EBY	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										MYC-human	DNA					False	2012-05-14	ENCODE				1, 2							ENCFF001TDO, ENCFF164IAN, ENCFF241JSX, ENCFF808TOG	118663	ENCODE Processing Pipeline	c21c11458242075faf796af2b64d9804		https://www.encodeproject.org/files/ENCFF569IGP/@@download/ENCFF569IGP.bed.gz	hg19				released	s3://encode-public/2017/12/09/2e526ec3-720e-499a-97ca-93ae13527d6c/ENCFF569IGP.bed.gz				
ENCFF002CRC	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000ECC	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										NRF1-human	DNA					False	2011-10-29	ENCODE												113020	ENCODE Consortium Analysis Working Group	ac25b5be53b26c71dbb7393b82bc891f		https://www.encodeproject.org/files/ENCFF002CRC/@@download/ENCFF002CRC.bed.gz	hg19				archived	s3://encode-public/2014/06/06/d976e6df-9252-463c-bfb6-a7c1f2dece01/ENCFF002CRC.narrowPeak.gz				
ENCFF508IBP	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000ECC	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										NRF1-human	DNA					False	2011-10-29	ENCODE				1, 2							ENCFF001TDO, ENCFF392HAM, ENCFF547PLM, ENCFF987TTM	87681	ENCODE Processing Pipeline	665542539f7b759c7b820632d8d8d8c3		https://www.encodeproject.org/files/ENCFF508IBP/@@download/ENCFF508IBP.bed.gz	hg19				released	s3://encode-public/2016/12/13/e1ae6dac-ae82-49c7-bd87-4866aa392049/ENCFF508IBP.bed.gz				
ENCFF002CIV	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000BJA	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										EGR1-human	DNA					False	2011-07-18	ENCODE												199154	ENCODE Consortium Analysis Working Group	0f9d09e6548dc05ba820e0b32d65e5bd		https://www.encodeproject.org/files/ENCFF002CIV/@@download/ENCFF002CIV.bed.gz	hg19				archived	s3://encode-public/2014/06/06/57e48606-de16-41a6-a501-c8764af4f4f3/ENCFF002CIV.narrowPeak.gz				
ENCFF220IXP	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000BJA	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										EGR1-human	DNA					False	2011-07-18	ENCODE				1, 2							ENCFF001TDO, ENCFF235LAV, ENCFF283VJO, ENCFF375CPS	205136	ENCODE Processing Pipeline	3264aafab10c53352fc8b19ad9cc0ac5		https://www.encodeproject.org/files/ENCFF220IXP/@@download/ENCFF220IXP.bed.gz	hg19				released	s3://encode-public/2017/12/08/8c318dfd-a197-4775-8349-fc449585f08d/ENCFF220IXP.bed.gz				
ENCFF002CRA	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000EUP	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										MAX-human	DNA					False	2011-10-29	ENCODE												233658	ENCODE Consortium Analysis Working Group	4202c09bf17472b546e9289570a6f946		https://www.encodeproject.org/files/ENCFF002CRA/@@download/ENCFF002CRA.bed.gz	hg19				archived	s3://encode-public/2014/06/06/15660046-59f7-4322-a1e9-5edc58a47b6e/ENCFF002CRA.narrowPeak.gz				
ENCFF668VNS	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000EUP	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										MAX-human	DNA					False	2011-10-29	ENCODE				1, 2							ENCFF001TDO, ENCFF056RFC, ENCFF566JIH, ENCFF667ZFL	94566	ENCODE Processing Pipeline	d5e88944c656337613f322a78d3b9172		https://www.encodeproject.org/files/ENCFF668VNS/@@download/ENCFF668VNS.bed.gz	hg19				released	s3://encode-public/2018/06/08/5257cdde-a512-4b94-8d6d-3f6c88c6ec01/ENCFF668VNS.bed.gz				
ENCFF002CQU	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000ECA	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										JUN-human	DNA					False	2011-10-29	ENCODE												58360	ENCODE Consortium Analysis Working Group	eee0c531e65f9eb949a28b0641f87ffa		https://www.encodeproject.org/files/ENCFF002CQU/@@download/ENCFF002CQU.bed.gz	hg19				archived	s3://encode-public/2014/06/06/17c308df-b057-4324-9e0a-f43a39554ef9/ENCFF002CQU.narrowPeak.gz				
ENCFF402ELS	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000ECA	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										JUN-human	DNA					False	2011-10-29	ENCODE				1, 2							ENCFF001TDO, ENCFF115XCV, ENCFF622NKF, ENCFF961BTT	48603	ENCODE Processing Pipeline	1840846ef482a55692abf6313aec1279		https://www.encodeproject.org/files/ENCFF402ELS/@@download/ENCFF402ELS.bed.gz	hg19				released	s3://encode-public/2017/12/09/89b73793-63a4-4e7a-85ae-0d860674a385/ENCFF402ELS.bed.gz				
ENCFF002CJR	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000BRY	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										TEAD4-human	DNA					False	2012-09-10	ENCODE												409026	ENCODE Consortium Analysis Working Group	c852448911067252d6b3be1e7ea922d5		https://www.encodeproject.org/files/ENCFF002CJR/@@download/ENCFF002CJR.bed.gz	hg19				released	s3://encode-public/2014/06/06/1ad5382e-b3d4-4635-9b5b-b02830269c44/ENCFF002CJR.narrowPeak.gz				
ENCFF002CQX	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000EBP	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										GTF2F1-human	DNA					False	2012-05-14	ENCODE												94669	ENCODE Consortium Analysis Working Group	427a7b651ee385dd96cfceb8e2f7a08d		https://www.encodeproject.org/files/ENCFF002CQX/@@download/ENCFF002CQX.bed.gz	hg19				archived	s3://encode-public/2014/06/06/c0d1cc11-6bdd-47af-a6c5-2aab7af70943/ENCFF002CQX.narrowPeak.gz				
ENCFF205YOD	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000EBP	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										GTF2F1-human	DNA					False	2012-05-14	ENCODE				1, 2							ENCFF001TDO, ENCFF211BEL, ENCFF258FIQ, ENCFF449PNR	77008	ENCODE Processing Pipeline	c922c340580a815e7117f367dda72e7b		https://www.encodeproject.org/files/ENCFF205YOD/@@download/ENCFF205YOD.bed.gz	hg19				released	s3://encode-public/2017/07/20/710ece37-5433-4ab8-a338-6b5684cd7c77/ENCFF205YOD.bed.gz				
ENCFF002CQW	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000EUO	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										CTBP2-human	DNA					False	2011-10-29	ENCODE												135363	ENCODE Consortium Analysis Working Group	e1e47f33b91591dd047e4f47a93d81f4		https://www.encodeproject.org/files/ENCFF002CQW/@@download/ENCFF002CQW.bed.gz	hg19				archived	s3://encode-public/2014/06/06/447a11cd-33ee-4250-b883-539707c51428/ENCFF002CQW.narrowPeak.gz				
ENCFF222TBM	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000EUO	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										CTBP2-human	DNA					False	2011-10-29	ENCODE				1, 2							ENCFF001TDO, ENCFF192EEU, ENCFF435TXP, ENCFF845TLB	149159	ENCODE Processing Pipeline	82e163feba058a7f390e9c54fddff002		https://www.encodeproject.org/files/ENCFF222TBM/@@download/ENCFF222TBM.bed.gz	hg19				released	s3://encode-public/2018/06/09/3c9f3683-c424-4549-ae11-6708639e658d/ENCFF222TBM.bed.gz				
ENCFF002CIT	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000BIP	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										BCL11A-human	DNA					False	2011-07-18	ENCODE												52410	ENCODE Consortium Analysis Working Group	2c0c565a76897f3160d301f7ec998e47		https://www.encodeproject.org/files/ENCFF002CIT/@@download/ENCFF002CIT.bed.gz	hg19				archived	s3://encode-public/2014/06/06/d3cba320-9c22-41c4-bbdf-5984f41e8ab3/ENCFF002CIT.narrowPeak.gz				
ENCFF002CRH	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000ECB	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										TBP-human	DNA					False	2011-10-29	ENCODE												416950	ENCODE Consortium Analysis Working Group	332fae3b1be780d35e98ab5fa0783687		https://www.encodeproject.org/files/ENCFF002CRH/@@download/ENCFF002CRH.bed.gz	hg19				archived	s3://encode-public/2014/06/06/8d6b1203-12d0-4627-a835-ffb322b722e4/ENCFF002CRH.narrowPeak.gz				
ENCFF629MBV	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000ECB	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										TBP-human	DNA					False	2011-10-29	ENCODE				1, 2							ENCFF001TDO, ENCFF208DFV, ENCFF686GYI, ENCFF730GTB	395270	ENCODE Processing Pipeline	1461e05d9f74c404801d4b756e9f4c7e		https://www.encodeproject.org/files/ENCFF629MBV/@@download/ENCFF629MBV.bed.gz	hg19				released	s3://encode-public/2017/07/20/44d3feb3-729a-478a-9679-c24386e618fe/ENCFF629MBV.bed.gz				
ENCFF002CIU	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000BNH	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										CTCF-human	DNA					False	2011-07-18	ENCODE												1097021	ENCODE Consortium Analysis Working Group	0071595b80838346905bf40e3186b251		https://www.encodeproject.org/files/ENCFF002CIU/@@download/ENCFF002CIU.bed.gz	hg19				archived	s3://encode-public/2014/06/06/d1e69ccd-edf4-427b-b35a-321b72f2bc83/ENCFF002CIU.narrowPeak.gz				
ENCFF402JJK	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000BNH	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										CTCF-human	DNA					False	2011-07-18	ENCODE				1, 2							ENCFF001TDO, ENCFF289JUZ, ENCFF722MDG, ENCFF775VDO	888822	ENCODE Processing Pipeline	f1680aa6ab0504910c3a639cd354bd47		https://www.encodeproject.org/files/ENCFF402JJK/@@download/ENCFF402JJK.bed.gz	hg19				released	s3://encode-public/2017/12/08/c355d6be-c5a1-47e1-8c36-5aaafd601cfa/ENCFF402JJK.bed.gz				
ENCFF002CDT	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000ASY	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										EZH2-human	DNA					False	2012-08-06	ENCODE												149616	ENCODE Consortium Analysis Working Group	156c673f958636a0dcfd01fddba4468b		https://www.encodeproject.org/files/ENCFF002CDT/@@download/ENCFF002CDT.bed.gz	hg19				archived	s3://encode-public/2014/06/06/8ad903c1-3a92-448b-bc0f-6eadfe975dfb/ENCFF002CDT.narrowPeak.gz				
ENCFF365JMJ	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000EUN	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										ZNF274-human	DNA					False	2012-08-20	ENCODE				1, 2							ENCFF001TDO, ENCFF015DMU, ENCFF374BCB, ENCFF784FBR	26071	ENCODE Processing Pipeline	f96107d880775c7908258193d11e8e3e		https://www.encodeproject.org/files/ENCFF365JMJ/@@download/ENCFF365JMJ.bed.gz	hg19				released	s3://encode-public/2018/06/15/dc83797d-6ec9-4889-a0de-30f188de85a5/ENCFF365JMJ.bed.gz				
ENCFF002CRF	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000EBO	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										SIN3A-human	DNA					False	2012-05-14	ENCODE												546325	ENCODE Consortium Analysis Working Group	5957d48fb5af3c4625e5631698512018		https://www.encodeproject.org/files/ENCFF002CRF/@@download/ENCFF002CRF.bed.gz	hg19				archived	s3://encode-public/2014/06/06/12cd33de-98bd-4ccd-8ff6-016e323219f4/ENCFF002CRF.narrowPeak.gz				
ENCFF184HWT	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000EBO	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										SIN3A-human	DNA					False	2012-05-14	ENCODE				1, 2							ENCFF001TDO, ENCFF284VQZ, ENCFF411CQI, ENCFF492CRC	549850	ENCODE Processing Pipeline	416fbc69abb0ccb5c20ee8a1e8214afc		https://www.encodeproject.org/files/ENCFF184HWT/@@download/ENCFF184HWT.bed.gz	hg19				released	s3://encode-public/2017/12/09/2526b71b-9424-4947-b06c-5136f73e5782/ENCFF184HWT.bed.gz				
ENCFF193YAN	bed narrowPeak	optimal IDR thresholded peaks	ENCSR784VUY	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										RNF2-human	DNA					False	2016-12-06	ENCODE				1, 2							ENCFF001TDO, ENCFF121NTB, ENCFF377LKC, ENCFF739OBK	193664	ENCODE Processing Pipeline	a67c8791173fbb24fb6a7a9bd69ebf8d		https://www.encodeproject.org/files/ENCFF193YAN/@@download/ENCFF193YAN.bed.gz	hg19				released	s3://encode-public/2016/12/03/9607977c-8346-4594-9795-2ac982239863/ENCFF193YAN.bed.gz				
ENCFF002CDV	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000AQC	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										RBBP5-human	DNA					False	2012-03-06	ENCODE												387565	ENCODE Consortium Analysis Working Group	762dfc6fd710b0203a5aa944ce4fffc6		https://www.encodeproject.org/files/ENCFF002CDV/@@download/ENCFF002CDV.bed.gz	hg19				archived	s3://encode-public/2014/06/06/fca5b7c0-6729-4215-a9a2-1f5b6bb75079/ENCFF002CDV.narrowPeak.gz				
ENCFF135DOZ	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000AQC	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										RBBP5-human	DNA					False	2012-03-06	ENCODE				1, 2							ENCFF001TDO, ENCFF715JKT, ENCFF918PUO, ENCFF977LNV	422896	ENCODE Processing Pipeline	fd6e3bb3e059f8ffb43f8316d044a984		https://www.encodeproject.org/files/ENCFF135DOZ/@@download/ENCFF135DOZ.bed.gz	hg19				released	s3://encode-public/2017/03/10/5efaa6ad-a05f-44a8-9933-dc16bd4c82ca/ENCFF135DOZ.bed.gz				
ENCFF468CFJ	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000AVB	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										HDAC2-human	DNA					False	2012-08-06	ENCODE				1, 2							ENCFF001TDO, ENCFF327ORV, ENCFF756FVQ, ENCFF848MDV	335244	ENCODE Processing Pipeline	88657f3ff9fbb5c3e01288866fcfba99		https://www.encodeproject.org/files/ENCFF468CFJ/@@download/ENCFF468CFJ.bed.gz	hg19				released	s3://encode-public/2017/03/13/8abe8506-5365-47c4-a26e-b919c5a1db26/ENCFF468CFJ.bed.gz				
ENCFF002CJD	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000BIC	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										POLR2AphosphoS5-human	DNA					False	2011-07-18	ENCODE												442368	ENCODE Consortium Analysis Working Group	9194d81a93b97c5ec0d818439baead9d		https://www.encodeproject.org/files/ENCFF002CJD/@@download/ENCFF002CJD.bed.gz	hg19				archived	s3://encode-public/2014/06/06/ac29110a-941b-400a-8f89-eaf721158f52/ENCFF002CJD.narrowPeak.gz				
ENCFF450NDU	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000BIC	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										POLR2AphosphoS5-human	DNA					False	2011-07-18	ENCODE				1, 2							ENCFF001TDO, ENCFF214YQS, ENCFF573RFU, ENCFF718URH	594411	ENCODE Processing Pipeline	90b03cced3ab0a76845d32604a921ccd		https://www.encodeproject.org/files/ENCFF450NDU/@@download/ENCFF450NDU.bed.gz	hg19				released	s3://encode-public/2016/12/14/fb17fbcb-4562-4b9d-8d03-7c355cc65637/ENCFF450NDU.bed.gz				
ENCFF361QZZ	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000ATR	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										SAP30-human	DNA					False	2012-08-06	ENCODE				1, 2							ENCFF001TDO, ENCFF160XEU, ENCFF199EXY, ENCFF350FQQ	167198	ENCODE Processing Pipeline	1b89bc58e2171e5e0f4fc7a38b9319d7		https://www.encodeproject.org/files/ENCFF361QZZ/@@download/ENCFF361QZZ.bed.gz	hg19				released	s3://encode-public/2017/03/10/337fd83d-249e-4335-b776-99ffd613d5e6/ENCFF361QZZ.bed.gz				
ENCFF885KLR	bed narrowPeak	optimal IDR thresholded peaks	ENCSR663WAR	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										REST-human	DNA					False	2017-01-08	ENCODE				1, 2							ENCFF001TDO, ENCFF029AGK, ENCFF371JLL, ENCFF651ZPC	115171	ENCODE Processing Pipeline	f20eefcfc1e4a4ed95f2d2d253a7750b		https://www.encodeproject.org/files/ENCFF885KLR/@@download/ENCFF885KLR.bed.gz	hg19				released	s3://encode-public/2016/12/05/790034c9-57b1-41ab-bbe6-83fa7bd1d5f1/ENCFF885KLR.bed.gz				
